basketball_in_hoop,1
beat_the_buzz,1
block_pyramid,len(colors)
change_channel,2
change_clock,1
close_box,1
close_door,1
close_drawer,3
close_fridge,1
close_grill,1
close_jar,len(colors)
close_laptop_lid,1
close_microwave,1
empty_container,len(colors)
empty_dishwasher,1
get_ice_from_fridge,1
hang_frame_on_hanger,1
hit_ball_with_queue,1
hockey,1
insert_usb_in_computer,1
lamp_off,1
lamp_on,1
light_bulb_out,len(colors)
meat_on_grill,2
move_hanger,1
open_box,1
open_door,1
open_fridge,1
open_grill,1
open_jar,len(colors)
open_microwave,1
open_oven,1
open_window,1
open_wine_bottle,1
phone_on_base,1
pick_and_lift,len(colors)
pick_up_cup,len(colors)
place_hanger_on_rack,1
play_jenga,1
plug_charger_in_power_supply,1
pour_from_cup_to_cup,len(colors)
press_switch,1
put_books_at_shelf_location,4
put_books_on_bookshelf,3
put_bottle_in_fridge,1
put_knife_in_knife_block,1
put_knife_on_chopping_board,1
put_plate_in_colored_dish_rack,len(colors)
put_rubbish_in_bin,1
put_rubbish_in_color_bin,2
put_shoes_in_box,1
put_toilet_roll_on_stand,1
put_tray_in_oven,1
put_umbrella_in_umbrella_stand,1
reach_target,len(colors)
remove_cups,MAX_CUPS_TO_REMOVE
scoop_with_spatula,1
screw_nail,1
set_clock_to_time,3
set_the_table,1
setup_checkers,MAX_CHECKERS_TO_SETUP
setup_chess,self.MAX_DISPLACEMENTS
slide_cabinet_open_and_place_cups,2
slide_cabinet_open,2
solve_puzzle,1
stack_wine,1
straighten_rope,1
take_cup_out_from_cabinet,2
take_frame_off_hanger,1
take_item_out_of_drawer,3
take_lid_off_saucepan,1
take_money_out_safe,NUM_SHELVES_IN_SAFE
take_off_weighing_scales,UNIQUE_PEPPERS_TO_TAKE_OFF
take_plate_off_colored_dish_rack,3
take_shoes_out_of_box,1
take_toilet_roll_off_stand,1
take_tray_out_of_oven,1
take_umbrella_out_of_umbrella_stand,1
take_usb_out_of_computer,1
toilet_seat_down,1
toilet_seat_up,1
turn_oven_on,1
tv_on,1
unplug_charger,1
water_plants,1
weighing_scales,UNIQUE_PEPPERS_TO_PLACE
wipe_desk,1
